year,brand,title,youtube_url,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count
2016,Kia,Kia - Beige Socks (Christopher Walken) Super Bowl Commercial,https://www.youtube.com/watch?v=rBkPXt-OpA4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,14395,86,1,6
2017,Budweiser,Budweiser 2017 Super Bowl Commercial | “Born The Hard Way”,https://www.youtube.com/watch?v=HtBZvl7dIu4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,28785122,48423,17113,9190
2000,Budweiser,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA
2009,Coca-Cola,Heist - Coca-Cola Commercial,https://www.youtube.com/watch?v=icV7fGqPZ2I,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,503550,1490,296,88
2015,Doritos,When Pigs Fly - Doritos Crash the Super Bowl 2015 WINNER OFFICAL,https://www.youtube.com/watch?v=YQo0TfuueaY,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1274288,2031,149,201
2004,Toyota,Toyota Tacoma Double Cab Girlfriend Commercial,https://www.youtube.com/watch?v=5uLJitPWAXM,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,112297,640,9,52
2016,NFL,“Super Bowl Babies Choir” feat. Seal | Music Video,https://www.youtube.com/watch?v=9KqekigARfE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,4921309,20690,2015,1828
2017,Hynudai,A Better Super Bowl | NFL Hyundai Super Bowl LI,https://www.youtube.com/watch?v=KpN6fxOorwE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,907,8,0,1
2012,Bud Light,Bud Light - Rescue Dog,https://www.youtube.com/watch?v=Qr3GJqccGi4,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,14579,42,1,0
2008,Budweiser,Budweiser Clydesdale Team Commercial,https://www.youtube.com/watch?v=odpagg0jV6I,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,110004,300,7,21
2013,Hynudai,2013 Hyundai Santa Fe Big Game Ad : Team (Extended),https://www.youtube.com/watch?v=jvm68nEAU7o,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,114478,1042,11,NA
2010,Doritos,Doritos commercial :casket,https://www.youtube.com/watch?v=2IhJl7mBtls,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11608,22,0,3
2016,Bud Light,"Super Bowl 50 - Bud Light: ""The Bud Light Party"" (2016)",https://www.youtube.com/watch?v=e0ez2t6oRWY,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,487,NA,NA,2
2019,Toyota,Toyota: RAV4 Hybrid featuring Toni Harris - 2019 Super Bowl Commercial,https://www.youtube.com/watch?v=wegrVsP3gK4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4873,32,14,5
2009,Bud Light,2009 Super Bowl Ad Bud Light Office Meeting,https://www.youtube.com/watch?v=L1fL0ZHX2t0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,54079,171,7,25
2019,Budweiser,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA
2003,Bud Light,"Bud Light ""Yoga""",https://www.youtube.com/watch?v=bcV8WN1YIL4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,147160,53,15,2
2019,Coca-Cola,Commercial Ads 2019 - Coca Cola - A Coke is a Coke - Super Bowl 2019,https://www.youtube.com/watch?v=WTqL_giKNHQ,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,81952,417,56,53
2012,Hynudai,Hyundai Genesis Coupe 2012 commercial,https://www.youtube.com/watch?v=UxQKSCpOIOI,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1264,2,0,0
2011,Hynudai,Hyundai Elantra - Another version - Hypnotized  Super Bowl spot commercial 2016,https://www.youtube.com/watch?v=5ofcQl6gWeE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,319,0,0,0
2015,Kia,Kia Sorento Official XLIX Ad with Pierce Brosnan Extended    “The Perfect Getaway”,https://www.youtube.com/watch?v=nayeYTmEdYw,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,81049,74,0,NA
2014,Budweiser,Budweiser Super Bowl XLVIII Commercial – “A Hero’s Welcome”,https://www.youtube.com/watch?v=XxfxB0O9Uuk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,13141,NA,NA,NA
2007,Bud Light,2007 Budweiser Super Bowl Commercial Rock-Paper-Scissors,https://www.youtube.com/watch?v=kH50-giCeDM,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,218329,309,8,29
2008,Hynudai,Hyundai SuperBowl Commercial: 2008Genesis vs. Mercedes & BMW,https://www.youtube.com/watch?v=PsKJUnGEGSs,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13312,18,11,24
2010,NFL,NFL - Super Bowl XLIV Best Fans on the Planet (Reggie Bush Slow Motion),https://www.youtube.com/watch?v=6cMHr8goUgU,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,91378,404,14,32
2005,Pepsi,Pepsi iTunes Free Song Promotion (2005),https://www.youtube.com/watch?v=vUwROngDC88,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,111,0,0,0
2018,Budweiser,Budweiser 2018 Super Bowl Commercial  “Stand By You”,https://www.youtube.com/watch?v=GNVw5f16GEM,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39897,138,8,8
2018,Bud Light,Bud Light Legends - Bud Knight,https://www.youtube.com/watch?v=UizTtcBsNi8,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,33766,144,23,17
2004,Bud Light,Bud Light Sleigh Ride Commercial,https://www.youtube.com/watch?v=yQ_nU0_R7PE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,88445,118,6,8
